Ascii Data Listing

Data listed on 10/24/23 17:30:26
file F:/PolyU/STM/SnTe/19 Oct 2023/Sb_SnTe_HOPG_PtIr_LT_2023_10_24_11_22_10_281.sm4, 10/24/23 11:13:31

Data Listing of Primary axis

 Plot Number: 1

	LIA Current, Bias 0.500 V, Setpoint 100.000 pA
	; ; 

8 lines of 1001 points, x units V y units A
LIA Current
Raw Data

DATA TABLE 3
	                	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       
	1x V            	1y3 A           	1y4 A           	1y5 A           	1y6 A           	1y7 A           	1y8 A           
	X_pixel         	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   
	Y_pixel         	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   
	+4.1000000e-01  	+7.4155022e-12  	+6.6246323e-12  	+1.1804961e-11  	+8.7303810e-12  	+1.0164403e-11  	+3.6044930e-12  
	+4.0899998e-01  	+8.0077073e-12  	+6.3896969e-12  	+1.2732777e-11  	+6.8461894e-12  	+9.5749320e-12  	+4.8383558e-12  
	+4.0799999e-01  	+8.4585368e-12  	+5.7093705e-12  	+1.1001988e-11  	+5.4928661e-12  	+1.1070166e-11  	+5.2521889e-12  
	+4.0700001e-01  	+8.2636250e-12  	+5.6283593e-12  	+1.1685541e-11  	+5.0069436e-12  	+9.8664080e-12  	+5.1027303e-12  
	+4.0599999e-01  	+7.4739147e-12  	+5.8930738e-12  	+1.2401170e-11  	+5.7554525e-12  	+1.1229953e-11  	+4.3226408e-12  
	+4.0500000e-01  	+7.7511929e-12  	+5.2374927e-12  	+1.1582220e-11  	+6.8659379e-12  	+1.0180213e-11  	+4.0389736e-12  
	+4.0399998e-01  	+8.2888548e-12  	+6.1071712e-12  	+1.1339439e-11  	+7.0140230e-12  	+8.2386797e-12  	+3.8296311e-12  
	+4.0300000e-01  	+8.0040237e-12  	+5.7560436e-12  	+1.0436741e-11  	+6.7996793e-12  	+1.0802373e-11  	+3.9737298e-12  
	+4.0200001e-01  	+7.9967777e-12  	+4.9915488e-12  	+1.0250173e-11  	+7.0797092e-12  	+9.6241947e-12  	+2.9211863e-12  
	+4.0099999e-01  	+8.1469675e-12  	+5.6531234e-12  	+1.0781269e-11  	+6.3150002e-12  	+1.2777089e-11  	+2.8392627e-12  
	+4.0000001e-01  	+7.7938428e-12  	+5.8586057e-12  	+1.1336612e-11  	+6.6237757e-12  	+1.4452915e-11  	+2.8802594e-12  
	+3.9899999e-01  	+8.1697288e-12  	+5.2924080e-12  	+1.0640071e-11  	+5.6228555e-12  	+1.0148776e-11  	+2.9053446e-12  
	+3.9800000e-01  	+7.6823305e-12  	+5.6584785e-12  	+1.0268888e-11  	+5.3523015e-12  	+1.2681345e-11  	+3.1157303e-12  
	+3.9699998e-01  	+6.8170903e-12  	+4.7288553e-12  	+1.1248011e-11  	+6.1785104e-12  	+1.2306203e-11  	+2.8891162e-12  
	+3.9600000e-01  	+7.8916734e-12  	+5.5497187e-12  	+9.8967648e-12  	+6.5435704e-12  	+1.0226429e-11  	+2.6409422e-12  
	+3.9499998e-01  	+7.5123970e-12  	+5.3248460e-12  	+1.0381993e-11  	+7.0345960e-12  	+1.1414238e-11  	+2.5812256e-12  
	+3.9399999e-01  	+7.4406106e-12  	+5.4185836e-12  	+9.7495640e-12  	+5.3564041e-12  	+1.2669307e-11  	+2.7098785e-12  
	+3.9300001e-01  	+7.8172607e-12  	+4.9146871e-12  	+8.4166745e-12  	+5.6385899e-12  	+1.4795814e-11  	+2.4462351e-12  
	+3.9199999e-01  	+7.5257751e-12  	+4.7107461e-12  	+8.8346656e-12  	+7.1667928e-12  	+1.7097407e-11  	+3.2392051e-12  
	+3.9100000e-01  	+7.4007267e-12  	+5.1235639e-12  	+9.7136526e-12  	+7.1602130e-12  	+1.3598120e-11  	+2.5414256e-12  
	+3.8999999e-01  	+7.3100068e-12  	+4.8210797e-12  	+1.0474403e-11  	+7.3050472e-12  	+1.2357709e-11  	+2.8411067e-12  
	+3.8900000e-01  	+6.8243688e-12  	+4.8519439e-12  	+9.2690387e-12  	+7.7701968e-12  	+1.2301290e-11  	+2.4607638e-12  
	+3.8800001e-01  	+7.0067680e-12  	+4.5948662e-12  	+1.0003839e-11  	+7.1444222e-12  	+1.2180205e-11  	+2.5229669e-12  
